,Stato fondo stradale,Tipo di strada,Condizioni traffico,Data incidente,Stagione
0,Asciutto,Strada extraurbana,Scarso,2023-01-01,Inverno
1,Asciutto,Strada Urbana,Intenso,2023-01-01,Inverno
2,Bagnato,Strada Urbana,Normale,2023-01-01,Inverno
3,Asciutto,Strada Urbana,Scarso,2023-01-02,Inverno
4,Asciutto,Strada Urbana,Normale,2023-01-02,Inverno
5,Asciutto,Strada Urbana,Normale,2023-01-02,Inverno
6,Asciutto,Strada Urbana,Intenso,2023-01-02,Inverno
7,Bagnato,Strada Urbana,Normale,2023-01-02,Inverno
8,Asciutto,Strada Urbana,Scarso,2023-01-02,Inverno
9,Asciutto,Strada Urbana,Scarso,2023-01-02,Inverno
10,Asciutto,Strada extraurbana,Normale,2023-01-02,Inverno
11,Bagnato,Strada Urbana,Scarso,2023-01-02,Inverno
12,Bagnato,Strada Urbana,Normale,2023-01-02,Inverno
13,Asciutto,Strada Urbana,Intenso,2023-01-02,Inverno
14,Asciutto,Strada Urbana,Scarso,2023-01-03,Inverno
15,Asciutto,Strada Urbana,Normale,2023-01-03,Inverno
16,Asciutto,Strada Urbana,Normale,2023-01-03,Inverno
17,Asciutto,Strada Urbana,Normale,2023-01-03,Inverno
18,Asciutto,Strada extraurbana,Normale,2023-01-04,Inverno
19,Asciutto,Strada Urbana,Intenso,2023-01-04,Inverno
20,Asciutto,Strada Urbana,Intenso,2023-01-04,Inverno
21,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
22,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
23,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
24,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
25,Asciutto,Strada Urbana,Scarso,2023-01-04,Inverno
26,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
27,Asciutto,Strada Urbana,Normale,2023-01-04,Inverno
28,Asciutto,Strada Urbana,Intenso,2023-01-04,Inverno
29,Asciutto,Strada Urbana,Intenso,2023-01-04,Inverno
30,Asciutto,Strada Urbana,Scarso,2023-01-05,Inverno
31,Asciutto,Strada Urbana,Normale,2023-01-05,Inverno
32,Asciutto,Strada Urbana,Scarso,2023-01-05,Inverno
33,Asciutto,Strada Urbana,Scarso,2023-01-05,Inverno
34,Asciutto,Strada Urbana,Normale,2023-01-05,Inverno
35,Asciutto,Strada Urbana,Normale,2023-01-05,Inverno
36,Asciutto,Strada Urbana,Normale,2023-01-05,Inverno
37,Asciutto,Strada Urbana,Scarso,2023-01-05,Inverno
38,Asciutto,Strada Urbana,Normale,2023-01-06,Inverno
39,Asciutto,Strada Urbana,Normale,2023-01-06,Inverno
40,Asciutto,Strada Urbana,Scarso,2023-01-07,Inverno
41,Bagnato,Strada Urbana,Scarso,2023-01-07,Inverno
42,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
43,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
44,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
45,Asciutto,Strada Urbana,Intenso,2023-01-07,Inverno
46,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
47,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
48,Bagnato,Strada Urbana,Normale,2023-01-07,Inverno
49,Asciutto,Strada Urbana,Intenso,2023-01-07,Inverno
50,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
51,Asciutto,Strada Urbana,Normale,2023-01-07,Inverno
52,Bagnato,Strada extraurbana,Normale,2023-01-07,Inverno
53,Asciutto,Strada Urbana,Scarso,2023-01-08,Inverno
54,Asciutto,Strada extraurbana,Scarso,2023-01-08,Inverno
55,Asciutto,Strada Urbana,Normale,2023-01-08,Inverno
56,Asciutto,Strada Urbana,Scarso,2023-01-08,Inverno
57,Asciutto,Strada Urbana,Normale,2023-01-08,Inverno
58,Asciutto,Strada Urbana,Normale,2023-01-08,Inverno
59,Bagnato,Strada Urbana,Scarso,2023-01-09,Inverno
60,Bagnato,Strada extraurbana,Intenso,2023-01-09,Inverno
61,Bagnato,Strada extraurbana,Intenso,2023-01-09,Inverno
62,Bagnato,Strada extraurbana,Scarso,2023-01-09,Inverno
63,Bagnato,Strada Urbana,Normale,2023-01-09,Inverno
64,Bagnato,Strada extraurbana,Normale,2023-01-09,Inverno
65,Asciutto,Strada extraurbana,Intenso,2023-01-09,Inverno
66,Asciutto,Strada Urbana,Normale,2023-01-09,Inverno
67,Asciutto,Strada Urbana,Normale,2023-01-09,Inverno
68,Bagnato,Strada Urbana,Normale,2023-01-09,Inverno
69,Bagnato,Strada extraurbana,Normale,2023-01-09,Inverno
70,Bagnato,Strada extraurbana,Normale,2023-01-10,Inverno
