Data incidente;lat;lon;Centro abitato;Tipo di strada;Caratteristiche della strada;Stato fondo stradale;Tipo pavimentazione;Condizioni meteo;Condizioni traffico;Danni a cose;Incidente con lesioni;Pattuglia inviata ore;Pattuglia sul posto ore
01/01/2022;41.07788;16.87029;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;No;Sì;00:30:00;00:40:00
01/01/2022;41.12101;16.88096;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;No;No;14:15:00;14:30:00
01/01/2022;41.12114;16.86452;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;No;No;15:55:00;16:10:00
01/01/2022;41.10307;16.8864;Sì;Strada urbana;Rettilineo;Bagnato (umidita' in atto);Asfaltata;Sereno;Normale;No;Sì;19:35:00;19:45:00
01/01/2022;41.12569;16.8741;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Intenso;No;No;00:00:00;00:00:00
02/01/2022;41.10255;16.88401;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;No;No;00:00:00;00:00:00
02/01/2022;41.1308;16.85398;Sì;Strada urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;No;Sì;13:00:00;13:05:00
02/01/2022;41.1142475;16.8501805;Sì;Strada urbana;Rotatoria;Asciutto;Asfaltata;Sereno;Scarso;No;Sì;14:20:00;14:30:00
02/01/2022;41.12441;16.83245;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;No;Sì;17:55:00;18:00:00
02/01/2022;41.08314;16.99952;Sì;Provinciale entro l'abitato;Curva senza visuale libera;Asciutto;Asfaltata;Sereno;Normale;No;Sì;20:00:00;20:15:00
02/01/2022;41.1077005;16.8537274;Sì;Strada urbana;Rettilineo;Bagnato (umidita' in atto);Asfaltata;Sereno;Normale;No;Sì;21:15:00;21:20:00
03/01/2022;41.11039;16.8615;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;No;Sì;06:10:00;06:15:00
03/01/2022;41.0863;16.99915;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;No;No;08:15:00;08:25:00
03/01/2022;41.1009;16.86727;Sì;Strada urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;No;No;08:40:00;08:45:00
03/01/2022;41.11007;16.86228;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;No;Sì;10:15:00;10:25:00
03/01/2022;41.11672;16.86744;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;No;No;18:20:00;18:40:00
04/01/2022;41.12719;16.85157;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Scarso;Sì;Sì;06:15:00;06:25:00
04/01/2022;41.11429677;16.85132844;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;No;No;08:20:00;08:30:00
04/01/2022;41.1213002;16.8723168;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;No;No;12:10:00;12:30:00
04/01/2022;41.09967;16.88565;Sì;Strada urbana;Incrocio;Asciutto;Asfaltata;Sereno;Normale;No;Sì;14:45:00;15:00:00
04/01/2022;41.10724;16.86774;Sì;Strada urbana;Intersezione semaforizzata;Asciutto;Asfaltata;Sereno;Normale;No;Sì;00:00:00;00:00:00
04/01/2022;41.1313;16.86768;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Normale;No;No;15:20:00;15:30:00
04/01/2022;41.0630357;16.86623204;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;No;No;20:05:00;20:20:00
04/01/2022;41.11345501;16.86748053;Sì;Strada urbana;Rettilineo;Asciutto;Asfaltata;Sereno;Scarso;No;No;23:15:00;23:25:00
