nome,pec,plesso,ordine,indirizzo,dirigente,email,tel,fax,municipio,proprietario,n_biblioteca,n_laboratori,n_refettori,n_aule_attivita_collettive,n_palestre_coperte,n_palestre_scoperte,n_auditorium,n_ambienti_destinati_ad_aule,n_segreteria,n_ambienti_destinati_al_dirigente_scolastico,n_archivio,n_sale_insegnati,n_sale_riunioni,n_cucine,n_servizi_igenici,n_ascensori,n_piani,n_aule_non_utilizzate,n_locali_concessi_a_enti_in_orario_scolastico,n_locali_concessi_a_enti_in_orario_extrascolastico,n_locali_concessi_a_enti_in_orario_entrambi,n_classi_funzionanti_nell_anno,ore_articolate_su_gg,n_ore_a_tempo_normale,n_ore_a_tempo_prolungato,n_ore_a_tempo_pieno,n_ore_serale,n_alunni_refezione,n_alunni_refezione_tempo_pieno,n_alunni_rientro_settimanale,n_alunni_servizio_trasporto,n_alunni_stranieri,n_classi_alunni_stranieri,n_alunni_inadempienti,iscritti_f,iscritti_m,iscritti_tot,frequentanti_f,frequentanti_m,frequentanti_tot,n_docenti,n_bidelli,n_custode,n_mediatori_culturali,matricola_aqp
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,A.MORO SEC. 1°,Secondaria I Grado,VIA DALMAZIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,ALBERO AZZURRO,Infanzia,VIA DELLA TOLLERANZA,DE ROBERTIS LILIANA,baic84200t@istruzione.it,805339334,805332341,5,//////,0,0,1,0,0,0,0,3,0,0,0,0,0,2,11,0,1,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,15,25,40,15,25,40,3,1,0,0,119/238833/00
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,ARCOBALENO,Infanzia,VIA DALMAZIA,DE ROBERTIS LILIANA,baic84200t@istruzione.it,805332133,805332341,5,//////,0,0,0,0,0,0,0,5,0,0,0,0,0,1,6,0,1,0,0,0,0,3,5,1,0,2,0,42,42,0,15,0,0,0,32,30,62,32,30,62,10,2,0,0,202905
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,D. VACCA,Secondaria I Grado,VIA DELLE AZALEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,G. FALCONE,Primaria,VIA DELLE AZALEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,IQBAL MASIH,Primaria,PIAZZETTA ELEONORA,DE ROBERTIS LILIANA,baic84200t@istruzione.it,080/5338785,805332341,5,//////1,1,1,1,2,1,1,1,10,0,0,0,0,0,1,17,1,2,0,0,0,0,5,5,5,0,0,0,0,0,0,14,0,0,0,44,37,81,44,37,81,17,1,0,0,166270/AA196
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,R. BONGHI (Direzione),Primaria,VIA LUCCA,LILIANA DE ROBERTIS,baic84200t@istruzione.it,080/5336129,805332341,5,/////,1,1,1,0,1,1,1,26,1,1,1,0,0,1,28,1,2,0,0,0,0,20,5,15,0,5,0,100,100,0,170,6,5,19,164,195,359,164,195,359,56,6,1,0,non rilevabile visivamente
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,TORRICELLA,Infanzia,VIA VITO ROSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTIDE GABELLI (Istituto Comprensivo),baic84200t@pec.istruzione.it,WALT DISNEY,Infanzia,VIA DELLE AZALEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALILLA - IMBRIANI (Istituto Comprensivo),baic81400n@pec.istruzione.it,BALILLA (Direzione),Infanzia,L.GO CARABELLESE 1 BARI,PROF.SSA GIULIANA DEFLORIO,baic81400n@istruzione.it,805534737,5539088,1,Comune di Bari,1,2,1,0,0,0,0,9,0,0,0,0,0,0,3,0,1,0,0,0,0,9,5,3,0,5,0,105,59,0,0,45,9,0,80,84,164,80,84,164,15,3,0,0,/
BALILLA - IMBRIANI (Istituto Comprensivo),baic81400n@pec.istruzione.it,BALILLA (Direzione),Primaria,L.GO CARABELLESE 1 BARI,PROF.SSA GIULIANA DEFLORIO,baic81400n@istruzione.it,805534737,080 5539088,1,Comune di Bari,1,3,1,0,1,0,0,23,1,1,1,0,1,0,4,1,3,0,0,0,0,23,5,21,0,2,0,33,33,0,0,79,23,5,208,213,421,206,210,416,62,9,0,0,/
BALILLA - IMBRIANI (Istituto Comprensivo),baic81400n@pec.istruzione.it,IMBRIANI,Secondaria I Grado,L.GO CARABELLESE 1 BARI,PROF.SSA GIULIANA DEFLORIO,baic81400n@istruzione.it,805534737,805539088,1,Comune  di bari,1,5,0,1,1,0,1,15,0,1,1,1,1,0,9,1,3,0,0,0,0,15,5,15,0,0,0,0,0,0,0,53,15,0,143,140,283,143,140,283,42,5,0,0,/
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,A. DIAZ,Infanzia,via v. veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,A. DIAZ,Primaria,via v. veneto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,CEGLIE (Direzione),Primaria,VIA DIVENERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,CEGLIE INFANZIA,Infanzia,VIA DIVENERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,MANZONI - LUCARELLI,Secondaria I Grado,VIA ANGELANTONIO QUARANTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEGLIE-MANZONI-LUCARELLI (Istituto Comprensivo),BAIC846005@PEC.ISTRUZIONE.IT,SANTA RITA,Infanzia,VIA DEL MONASTERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
