data;temperatura_min;temperatura_media;temperatura_max;flag_t;umr_min;umr_media;umr_max;flag_umr;precipitazione;flag_prec;vvento_media;vvento_max;flag_vv;dvento;dvento_set;flag_dv;radsolare_media;radsolare_max;flag_rad;pressione;flag_pres;
2023-01-01 00:00:00;10.87;11.01;11.31;1;72.59;73.52;76.82;1;0.00;1;2.57;3.22;1;318.87;315.00;1;0.00;0.00;1;1021.25;1;
2023-01-01 00:30:00;10.75;11.16;11.47;1;71.31;73.32;76.77;1;0.00;1;2.40;3.20;1;307.11;292.50;1;0.00;0.00;1;1021.19;1;
2023-01-01 01:00:00;10.08;10.39;10.73;1;73.75;74.35;74.95;1;0.00;1;3.17;3.59;1;297.13;292.50;1;0.00;0.00;1;1021.05;1;
2023-01-01 01:30:00;10.08;10.43;10.65;1;72.25;73.36;75.28;1;0.00;1;3.55;4.14;1;305.73;315.00;1;0.00;0.00;1;1021.02;1;
2023-01-01 02:00:00;10.58;10.73;10.88;1;71.91;72.70;74.93;1;0.00;1;3.10;3.77;1;306.83;315.00;1;0.00;0.00;1;1020.99;1;
2023-01-01 02:30:00;10.26;10.45;10.64;1;72.15;72.92;73.64;1;0.00;1;3.18;3.59;1;302.24;292.50;1;0.00;0.00;1;1021.03;1;
2023-01-01 03:00:00;10.41;10.64;10.79;1;69.54;70.92;73.50;1;0.00;1;2.86;3.39;1;304.93;315.00;1;0.00;0.00;1;1020.94;1;
2023-01-01 03:30:00;10.33;10.54;10.73;1;68.77;69.98;70.95;1;0.00;1;2.63;3.22;1;299.20;292.50;1;0.00;0.00;1;1020.82;1;
2023-01-01 04:00:00;10.25;10.50;10.70;1;69.06;70.08;71.37;1;0.00;1;3.09;3.77;1;302.11;315.00;1;0.00;0.00;1;1020.71;1;
2023-01-01 04:30:00;9.90;10.16;10.40;1;70.80;71.90;73.38;1;0.00;1;2.84;3.21;1;302.73;292.50;1;0.00;0.00;1;1020.66;1;
2023-01-01 05:00:00;10.35;10.60;10.71;1;71.04;71.71;72.70;1;0.00;1;2.91;3.22;1;314.80;315.00;1;0.00;0.00;1;1020.70;1;
2023-01-01 05:30:00;10.26;10.59;11.13;1;71.06;73.06;74.71;1;0.00;1;3.10;3.40;1;310.35;315.00;1;0.00;0.00;1;1020.71;1;
2023-01-01 06:00:00;10.18;10.54;10.93;1;71.25;76.06;83.23;1;0.00;1;3.07;3.41;1;296.81;292.50;1;0.00;0.00;1;1020.69;1;
2023-01-01 06:30:00;9.79;10.10;10.52;1;72.72;76.60;82.03;1;0.00;1;2.77;3.41;1;279.39;270.00;1;0.00;0.00;1;1020.74;1;
2023-01-01 07:00:00;9.64;9.84;10.11;1;82.25;88.72;93.85;1;0.00;1;2.83;3.40;1;278.48;270.00;1;0.00;0.00;1;1020.84;1;
2023-01-01 07:30:00;8.95;9.53;9.99;1;72.00;83.65;97.40;1;0.00;1;2.77;3.20;1;288.43;292.50;1;0.00;0.00;1;1021.04;1;
