_id,data_ora,id_station,denominazione,temperatura_min,temperatura_avg,temperatura_max,cod_validazione_temperatura,umidita_rel_min,umidita_rel_avg,umidita_rel_max,cod_validazione_umidita_rel,precipitazione,cod_validazione_precipitazione,velocita_vento_avg,velocita_vento_max,cod_validazione_velocita_vento,direzione_vento_gradi,direzione_vento_settore,cod_validazione_direzione_vento,rad_solare_globale_avg,rad_solare_globale_max,cod_validazione_rad_solare_globale,pressione_atmosferica,cod_validazione_pressione_atmosferica,Latitude,Longitude
1,2023-01-01T00:00:00,2,bari,10.87,11.01,11.31,1,72.59,73.52,76.82,1,0.0,1,2.57,3.22,1,318.87,315.0,1,0.0,0.0,1,1021.25,1,41.11694,16.89375
2,2023-01-01T00:30:00,2,bari,10.75,11.16,11.47,1,71.31,73.32,76.77,1,0.0,1,2.4,3.2,1,307.11,292.5,1,0.0,0.0,1,1021.19,1,41.11694,16.89375
3,2023-01-01T01:00:00,2,bari,10.08,10.39,10.73,1,73.75,74.35,74.95,1,0.0,1,3.17,3.59,1,297.13,292.5,1,0.0,0.0,1,1021.05,1,41.11694,16.89375
4,2023-01-01T01:30:00,2,bari,10.08,10.43,10.65,1,72.25,73.36,75.28,1,0.0,1,3.55,4.14,1,305.73,315.0,1,0.0,0.0,1,1021.02,1,41.11694,16.89375
5,2023-01-01T02:00:00,2,bari,10.58,10.73,10.88,1,71.91,72.7,74.93,1,0.0,1,3.1,3.77,1,306.83,315.0,1,0.0,0.0,1,1020.99,1,41.11694,16.89375
6,2023-01-01T02:30:00,2,bari,10.26,10.45,10.64,1,72.15,72.92,73.64,1,0.0,1,3.18,3.59,1,302.24,292.5,1,0.0,0.0,1,1021.03,1,41.11694,16.89375
7,2023-01-01T03:00:00,2,bari,10.41,10.64,10.79,1,69.54,70.92,73.5,1,0.0,1,2.86,3.39,1,304.93,315.0,1,0.0,0.0,1,1020.94,1,41.11694,16.89375
8,2023-01-01T03:30:00,2,bari,10.33,10.54,10.73,1,68.77,69.98,70.95,1,0.0,1,2.63,3.22,1,299.2,292.5,1,0.0,0.0,1,1020.82,1,41.11694,16.89375
9,2023-01-01T04:00:00,2,bari,10.25,10.5,10.7,1,69.06,70.08,71.37,1,0.0,1,3.09,3.77,1,302.11,315.0,1,0.0,0.0,1,1020.71,1,41.11694,16.89375
10,2023-01-01T04:30:00,2,bari,9.9,10.16,10.4,1,70.8,71.9,73.38,1,0.0,1,2.84,3.21,1,302.73,292.5,1,0.0,0.0,1,1020.66,1,41.11694,16.89375
11,2023-01-01T05:00:00,2,bari,10.35,10.6,10.71,1,71.04,71.71,72.7,1,0.0,1,2.91,3.22,1,314.8,315.0,1,0.0,0.0,1,1020.7,1,41.11694,16.89375
12,2023-01-01T05:30:00,2,bari,10.26,10.59,11.13,1,71.06,73.06,74.71,1,0.0,1,3.1,3.4,1,310.35,315.0,1,0.0,0.0,1,1020.71,1,41.11694,16.89375
13,2023-01-01T06:00:00,2,bari,10.18,10.54,10.93,1,71.25,76.06,83.23,1,0.0,1,3.07,3.41,1,296.81,292.5,1,0.0,0.0,1,1020.69,1,41.11694,16.89375
