quartiere,iscritti_tot,frequentanti_tot,non_frequentanti
I - SAN NICOLA,486.0,486.0,0.0
II - MURAT,1442.0,1436.0,6.0
III - MADONNELLA,1228.0,1223.0,5.0
IV - LIBERTA',2438.0,2403.0,35.0
IX - STANIC,42.0,42.0,0.0
V - JAPIGIA,3386.0,3386.0,0.0
VI - SAN PASQUALE,2682.0,2682.0,0.0
VII - CARRASSI,1422.0,1397.0,25.0
VIII - PICONE,6545.0,6447.0,98.0
X  - MARCONI - SAN GIROLAMO - FESCA,468.0,468.0,0.0
XI - SAN PAOLO,525.0,523.0,2.0
XII - PALESE - MACCHIE,165.0,165.0,0.0
XIII - SANTO SPIRITO,850.0,850.0,0.0
XIV - CARBONARA DI BARI,393.0,393.0,0.0
