	nome	ordine	indirizzo	n_biblioteca	n_laboratori	n_aule_attivita_collettive	n_palestre_coperte	n_palestre_scoperte	n_auditorium	n_ambienti_destinati_ad_aule	n_sale_insegnati	n_cucine	n_servizi_igenici	n_ascensori	n_piani	n_aule_non_utilizzate	n_classi_funzionanti_nell_anno	n_alunni_servizio_trasporto	iscritti_tot	frequentanti_tot	n_docenti	n_bidelli	n_custode	Lat	Lon	quartiere	quartiere_geom
1	ARISTIDE GABELLI (Istituto Comprensivo)	Infanzia	VIA DELLA TOLLERANZA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	11.0	0.0	1.0	0.0	3	0.0	40.0	40.0	3.0	1.0	0.0	41.14919642269854	16.735654717994276	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
2	ARISTIDE GABELLI (Istituto Comprensivo)	Infanzia	VIA DALMAZIA, Bari, Apulia, Italy	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	6.0	0.0	1.0	0.0	3	15.0	62.0	62.0	10.0	2.0	0.0	41.12007797251458	16.883714615377478	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
5	ARISTIDE GABELLI (Istituto Comprensivo)	Primaria	PIAZZETTA ELEONORA, Bari, Apulia, Italy	1.0	1.0	2.0	1.0	1.0	1.0	10.0	0.0	1.0	17.0	1.0	2.0	0.0	5	14.0	81.0	81.0	17.0	1.0	0.0	41.14804645	16.739179070749437	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
6	ARISTIDE GABELLI (Istituto Comprensivo)	Primaria	VIA LUCCA, Bari, Apulia, Italy	1.0	1.0	0.0	1.0	1.0	1.0	26.0	0.0	1.0	28.0	1.0	2.0	0.0	20	170.0	359.0	359.0	56.0	6.0	1.0	41.16164565777979	16.7441982180334	XIII - SANTO SPIRITO	"12    POLYGON ((16.73178 41.16969, 16.7318 41.16969,...
Name: geometry, dtype: geometry"
9	BALILLA - IMBRIANI (Istituto Comprensivo)	Infanzia	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	2.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	3.0	0.0	1.0	0.0	9	0.0	164.0	164.0	15.0	3.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
10	BALILLA - IMBRIANI (Istituto Comprensivo)	Primaria	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	3.0	0.0	1.0	0.0	0.0	23.0	0.0	0.0	4.0	1.0	3.0	0.0	23	0.0	421.0	416.0	62.0	9.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
11	BALILLA - IMBRIANI (Istituto Comprensivo)	Secondaria I Grado	L.GO CARABELLESE 1 BARI, Bari, Apulia, Italy	1.0	5.0	1.0	1.0	0.0	1.0	15.0	1.0	0.0	9.0	1.0	3.0	0.0	15	0.0	283.0	283.0	42.0	5.0	0.0	41.12072	16.87869	III - MADONNELLA	"4    POLYGON ((16.87762 41.12319, 16.87768 41.12316...
Name: geometry, dtype: geometry"
26	DE AMICIS - LATERZA - M.S.MICHELE (Istituto Comprensivo)	Infanzia	VIA LUIGI PINTO 1, Bari, Apulia, Italy	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	2.0	2	0.0	36.0	36.0	4.0	2.0	0.0	41.11128078324974	16.87283069938018	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
28	DE AMICIS - LATERZA- M.S.MICHELE (Istituto Comprensivo)	Primaria	VIA RE DAVID 179, Bari, Apulia, Italy	0.0	2.0	0.0	1.0	0.0	1.0	21.0	0.0	1.0	17.0	2.0	3.0	0.0	9	1.0	183.0	183.0	30.0	2.0	1.0	41.110117279078956	16.87674786604037	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
29	MONTE S.MICHELE 26° Circolo (Istituto Comprensivo)	Primaria	CORSO ALCIDE DE GASPERI 345, Bari, Apulia, Italy	1.0	3.0	3.0	1.0	0.0	1.0	15.0	0.0	0.0	28.0	1.0	3.0	0.0	15	1.0	262.0	262.0	48.0	3.0	1.0	41.09289164704956	16.86902493359135	VII - CARRASSI	"20    POLYGON ((16.88372 41.08981, 16.88373 41.08942...
Name: geometry, dtype: geometry"
